"Time","All machines","machine69","machine70","machine77"
2024-06-24 22:27:30,0,62,9,0
2024-06-24 22:27:45,0,0,0,0
2024-06-24 22:28:00,0,0,145,6
2024-06-24 22:28:15,6,0,0,5
2024-06-24 22:28:30,46,0,0,2
2024-06-24 22:28:45,6,0,0,0
2024-06-24 22:29:00,104,0,0,0
2024-06-24 22:29:15,1,0,5,1
2024-06-24 22:29:30,0,0,6,0
2024-06-24 22:29:45,0,0,0,0
2024-06-24 22:30:00,4,0,2,0
2024-06-24 22:30:15,0,0,0,3
2024-06-24 22:30:30,10,0,0,109
2024-06-24 22:30:45,0,92,0,0
2024-06-24 22:31:00,0,5,84,3
2024-06-24 22:31:15,0,0,0,8
2024-06-24 22:31:30,2,1,0,0
2024-06-24 22:31:45,246,2,0,5
2024-06-24 22:32:00,0,0,0,0
2024-06-24 22:32:15,68,0,0,0
2024-06-24 22:32:30,0,0,0,1
2024-06-24 22:32:45,0,0,0,6
2024-06-24 22:33:00,92,69,0,0
2024-06-24 22:33:15,0,0,0,0
2024-06-24 22:33:30,0,0,0,0
