"Time","All machines","machine69","machine70","machine77"
2024-06-13 19:26:45,0,0,0,85
2024-06-13 19:27:00,56,0,0,0
2024-06-13 19:27:15,3,7,0,0
2024-06-13 19:27:30,5,0,0,2
2024-06-13 19:27:45,196,1,1,0
2024-06-13 19:28:00,62,0,0,0
2024-06-13 19:28:15,0,0,2,0
2024-06-13 19:28:30,121,0,0,0
2024-06-13 19:28:45,3,1,76,2
2024-06-13 19:29:00,2,6,0,0
2024-06-13 19:29:15,0,0,2,5
2024-06-13 19:29:30,0,8,0,0
2024-06-13 19:29:45,0,2,0,0
2024-06-13 19:30:00,5,0,1,0
2024-06-13 19:30:15,30,0,0,0
2024-06-13 19:30:30,2,0,0,0
2024-06-13 19:30:45,2,4,0,0
2024-06-13 19:31:00,126,0,0,2
2024-06-13 19:31:15,0,0,0,0
2024-06-13 19:31:30,0,0,0,0
2024-06-13 19:31:45,0,0,0,11
2024-06-13 19:32:00,0,0,0,0
