"Time","All machines","machine69","machine70","machine77"
2024-06-24 20:19:30,0,1,0,0
2024-06-24 20:19:45,0,3,0,0
2024-06-24 20:20:00,0,2,0,0
2024-06-24 20:20:15,0,0,159,0
2024-06-24 20:20:30,112,209,0,0
2024-06-24 20:20:45,0,0,3,0
2024-06-24 20:21:00,9,0,0,0
2024-06-24 20:21:15,5,0,0,0
2024-06-24 20:21:30,302,0,0,0
2024-06-24 20:21:45,4,4,0,2
2024-06-24 20:22:00,0,0,2,27
2024-06-24 20:22:15,2,0,0,0
2024-06-24 20:22:30,3,0,0,0
2024-06-24 20:22:45,6,0,45,8
2024-06-24 20:23:00,3,0,0,4
2024-06-24 20:23:15,2,0,0,1
2024-06-24 20:23:30,2,69,3,2
2024-06-24 20:23:45,0,8,0,0
2024-06-24 20:24:00,3,0,0,0
2024-06-24 20:24:15,0,0,0,0
2024-06-24 20:24:30,0,0,0,0
