"Time","All machines","machine69","machine70","machine77"
2024-06-14 15:53:15,0,0,0,0
2024-06-14 15:53:30,0,0,0,3
2024-06-14 15:53:45,10,10,0,0
2024-06-14 15:54:00,10,22,0,0
2024-06-14 15:54:15,1,0,0,0
2024-06-14 15:54:30,0,0,0,0
2024-06-14 15:54:45,0,4,0,0
2024-06-14 15:55:00,0,2,0,0
2024-06-14 15:55:15,2,7,0,0
2024-06-14 15:55:30,4,0,0,1
2024-06-14 15:55:45,0,0,0,0
2024-06-14 15:56:00,0,2,1,1
2024-06-14 15:56:15,2,0,2,2
2024-06-14 15:56:30,0,0,0,0
2024-06-14 15:56:45,0,199,0,0
2024-06-14 15:57:00,0,0,2,0
2024-06-14 15:57:15,49,6,0,0
2024-06-14 15:57:30,9,13,0,1
2024-06-14 15:57:45,2,0,2,0
2024-06-14 15:58:00,24,0,0,2
2024-06-14 15:58:15,85,0,0,0
2024-06-14 15:58:30,0,0,5,0
2024-06-14 15:58:45,6,0,0,0
2024-06-14 15:59:00,0,0,0,0
2024-06-14 15:59:15,0,0,0,0
2024-06-14 15:59:30,1,0,0,0
2024-06-14 15:59:45,1,0,0,0
2024-06-14 16:00:00,19,1,0,0
