"Time","All machines","machine69","machine70","machine77"
2024-04-19 11:08:45,0,0,0,0
2024-04-19 11:09:00,0,0,0,0
2024-04-19 11:09:15,0,0,0,0
2024-04-19 11:09:30,0,0,0,0
2024-04-19 11:09:45,120,114,0,0
2024-04-19 11:10:00,0,0,0,0
2024-04-19 11:10:15,3,11,0,0
2024-04-19 11:10:30,12,10,0,0
2024-04-19 11:10:45,1,2,3,0
2024-04-19 11:11:00,2,2,0,0
2024-04-19 11:11:15,0,0,0,0
2024-04-19 11:11:30,0,0,1,0
2024-04-19 11:11:45,1,0,0,0
2024-04-19 11:12:00,1,0,0,0
2024-04-19 11:12:15,0,0,0,0
2024-04-19 11:12:30,2,0,0,0
2024-04-19 11:12:45,0,0,0,0
2024-04-19 11:13:00,0,0,0,0
2024-04-19 11:13:15,1,1,0,0
2024-04-19 11:13:30,3,2,1,0
2024-04-19 11:13:45,1,1,2,0
2024-04-19 11:14:00,1,0,1,0
2024-04-19 11:14:15,1,1,0,0
2024-04-19 11:14:30,1,1,0,0
