"Time","Total","Peers","Orderers","Ledgers"
2024-06-24 22:50:30,167,76,15,0
2024-06-24 22:50:45,3,0,0,0
2024-06-24 22:51:00,1,1,0,0
2024-06-24 22:51:15,0,0,0,0
2024-06-24 22:51:30,5,0,0,0
2024-06-24 22:51:45,0,0,0,0
2024-06-24 22:52:00,0,0,0,0
2024-06-24 22:52:15,1,0,0,0
2024-06-24 22:52:30,23,0,0,0
2024-06-24 22:52:45,3,0,0,0
2024-06-24 22:53:00,59,0,0,0
2024-06-24 22:53:15,0,0,0,0
2024-06-24 22:53:30,0,0,0,0
2024-06-24 22:53:45,0,0,0,0
2024-06-24 22:54:00,0,0,0,0
2024-06-24 22:54:15,70,1,0,66
2024-06-24 22:54:30,0,0,0,0
2024-06-24 22:54:45,0,0,0,0
2024-06-24 22:55:00,0,0,0,0
2024-06-24 22:55:15,0,0,0,0
2024-06-24 22:55:30,0,0,0,0
2024-06-24 22:55:45,53,0,26,0
2024-06-24 22:56:00,0,0,0,0
2024-06-24 22:56:15,0,0,0,0
2024-06-24 22:56:30,62,31,0,0
